Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Conditions,Date
0:56,57.0 ,51.1 ,0.81,30.05 ,10.0 ,West,26.5 ,Scattered Clouds,8/1/2013
1:27,57.2 ,51.8 ,0.82,30.04 ,10.0 ,WSW,27.6 ,Mostly Cloudy,8/1/2013
2:56,55.9 ,50.0 ,0.8,30.03 ,10.0 ,West,6.9 ,Scattered Clouds,8/1/2013
3:56,55.9 ,50.0 ,0.8,30.04 ,10.0 ,West,5.8 ,Mostly Cloudy,8/1/2013
4:17,55.4 ,50.0 ,0.82,30.04 ,10.0 ,WSW,9.2 ,Scattered Clouds,8/1/2013
5:15,55.4 ,50.0 ,0.82,30.05 ,10.0 ,West,11.5 ,Mostly Cloudy,8/1/2013
6:56,57.0 ,50.0 ,0.77,30.07 ,10.0 ,West,12.7 ,Mostly Cloudy,8/1/2013
7:19,57.2 ,50.0 ,0.77,30.07 ,10.0 ,WSW,9.2 ,Mostly Cloudy,8/1/2013
8:56,59.0 ,50.0 ,0.72,30.09 ,10.0 ,West,8.1 ,Mostly Cloudy,8/1/2013
9:56,61.0 ,50.0 ,0.67,30.09 ,10.0 ,WSW,11.5 ,Scattered Clouds,8/1/2013
10:56,62.1 ,50.0 ,0.65,30.10 ,10.0 ,WSW,21.9 ,Mostly Cloudy,8/1/2013
11:56,64.9 ,50.0 ,0.58,30.10 ,10.0 ,West,15.0 ,Partly Cloudy,8/1/2013
12:56,64.9 ,50.0 ,0.58,30.10 ,10.0 ,West,24.2 ,Partly Cloudy,8/1/2013
13:56,66.0 ,50.0 ,0.56,30.07 ,10.0 ,West,18.4 ,Partly Cloudy,8/1/2013
14:56,66.0 ,50.0 ,0.56,30.06 ,10.0 ,West,21.9 ,Partly Cloudy,8/1/2013
15:56,64.9 ,51.1 ,0.61,30.05 ,10.0 ,West,18.4 ,Scattered Clouds,8/1/2013
16:56,64.9 ,50.0 ,0.58,30.03 ,10.0 ,West,21.9 ,Partly Cloudy,8/1/2013
17:56,64.0 ,51.1 ,0.63,30.02 ,10.0 ,West,20.7 ,Partly Cloudy,8/1/2013
18:56,62.1 ,51.1 ,0.67,30.01 ,10.0 ,West,21.9 ,Partly Cloudy,8/1/2013
19:56,59.0 ,51.1 ,0.75,30.01 ,10.0 ,West,16.1 ,Scattered Clouds,8/1/2013
20:56,59.0 ,51.1 ,0.75,30.00 ,10.0 ,West,18.4 ,Scattered Clouds,8/1/2013
21:43,57.2 ,51.8 ,0.82,30.01 ,10.0 ,West,20.7 ,Mostly Cloudy,8/1/2013
22:39,57.2 ,51.8 ,0.82,30.00 ,10.0 ,West,13.8 ,Scattered Clouds,8/1/2013
23:56,57.0 ,51.1 ,0.81,29.99 ,10.0 ,West,12.7 ,Partly Cloudy,8/1/2013
0:56,55.9 ,51.1 ,0.84,29.98 ,10.0 ,West,8.1 ,Partly Cloudy,8/2/2013
1:56,55.9 ,51.1 ,0.84,29.97 ,10.0 ,West,9.2 ,Partly Cloudy,8/2/2013
2:46,55.4 ,51.8 ,0.88,29.96 ,10.0 ,West,18.4 ,Scattered Clouds,8/2/2013
3:56,55.0 ,50.0 ,0.83,29.95 ,10.0 ,West,16.1 ,Partly Cloudy,8/2/2013
4:56,54.0 ,50.0 ,0.86,29.96 ,10.0 ,WNW,9.2 ,Scattered Clouds,8/2/2013
5:56,53.1 ,50.0 ,0.89,29.98 ,10.0 ,West,8.1 ,Scattered Clouds,8/2/2013
6:11,53.6 ,50.0 ,0.88,29.98 ,10.0 ,West,8.1 ,Mostly Cloudy,8/2/2013
7:56,57.0 ,51.1 ,0.81,29.99 ,10.0 ,WNW,6.9 ,Scattered Clouds,8/2/2013
8:56,59.0 ,50.0 ,0.72,30.00 ,10.0 ,WNW,11.5 ,Scattered Clouds,8/2/2013
9:56,60.1 ,50.0 ,0.69,29.99 ,10.0 ,WNW,12.7 ,Scattered Clouds,8/2/2013
10:56,63.0 ,50.0 ,0.63,29.99 ,10.0 ,WNW,15.0 ,Scattered Clouds,8/2/2013
11:56,66.9 ,50.0 ,0.54,29.98 ,10.0 ,WNW,15.0 ,Partly Cloudy,8/2/2013
12:56,66.0 ,50.0 ,0.56,29.97 ,10.0 ,WNW,18.4 ,Partly Cloudy,8/2/2013
13:56,66.9 ,51.1 ,0.57,29.96 ,10.0 ,WNW,19.6 ,Partly Cloudy,8/2/2013
14:56,66.0 ,50.0 ,0.56,29.95 ,10.0 ,WNW,20.7 ,Partly Cloudy,8/2/2013
15:56,64.0 ,51.1 ,0.63,29.95 ,10.0 ,West,19.6 ,Partly Cloudy,8/2/2013
16:56,63.0 ,51.1 ,0.65,29.94 ,10.0 ,West,19.6 ,Partly Cloudy,8/2/2013
17:56,62.1 ,50.0 ,0.65,29.94 ,10.0 ,West,19.6 ,Partly Cloudy,8/2/2013
18:56,60.1 ,50.0 ,0.69,29.94 ,10.0 ,West,13.8 ,Partly Cloudy,8/2/2013
19:56,57.9 ,50.0 ,0.75,29.94 ,10.0 ,West,13.8 ,Partly Cloudy,8/2/2013
20:56,57.0 ,50.0 ,0.77,29.95 ,10.0 ,West,12.7 ,Partly Cloudy,8/2/2013
21:56,57.0 ,50.0 ,0.77,29.96 ,10.0 ,West,12.7 ,Partly Cloudy,8/2/2013
22:56,57.0 ,50.0 ,0.77,29.96 ,10.0 ,West,6.9 ,Scattered Clouds,8/2/2013
23:56,55.9 ,50.0 ,0.8,29.96 ,10.0 ,WSW,8.1 ,Scattered Clouds,8/2/2013
0:56,55.9 ,50.0 ,0.8,29.96 ,10.0 ,SW,5.8 ,Scattered Clouds,8/3/2013
1:56,55.9 ,50.0 ,0.8,29.95 ,10.0 ,West,9.2 ,Partly Cloudy,8/3/2013
2:56,55.9 ,50.0 ,0.8,29.95 ,10.0 ,West,4.6 ,Partly Cloudy,8/3/2013
3:56,55.0 ,48.9 ,0.8,29.95 ,10.0 ,WSW,4.6 ,Clear,8/3/2013
4:56,54.0 ,48.0 ,0.8,29.96 ,10.0 ,SW,4.6 ,Scattered Clouds,8/3/2013
5:33,55.4 ,50.0 ,0.82,29.95 ,10.0 ,WSW,5.8 ,Mostly Cloudy,8/3/2013
6:56,55.9 ,50.0 ,0.8,29.97 ,10.0 ,Calm,Calm,Mostly Cloudy,8/3/2013
7:56,57.0 ,50.0 ,0.77,29.99 ,10.0 ,South,3.5 ,Mostly Cloudy,8/3/2013
8:56,57.9 ,50.0 ,0.75,29.99 ,10.0 ,Calm,Calm,Mostly Cloudy,8/3/2013
9:56,61.0 ,51.1 ,0.7,29.99 ,10.0 ,NNW,5.8 ,Mostly Cloudy,8/3/2013
10:33,60.8 ,51.8 ,0.72,29.99 ,10.0 ,North,4.6 ,Scattered Clouds,8/3/2013
11:56,64.9 ,52.0 ,0.63,29.98 ,10.0 ,NE,5.8 ,Partly Cloudy,8/3/2013
12:56,64.9 ,53.1 ,0.65,29.98 ,10.0 ,NNE,8.1 ,Partly Cloudy,8/3/2013
13:56,68.0 ,54.0 ,0.61,29.96 ,10.0 ,NNE,6.9 ,Partly Cloudy,8/3/2013
14:56,69.1 ,53.1 ,0.57,29.95 ,10.0 ,NNW,15.0 ,Partly Cloudy,8/3/2013
15:56,69.1 ,52.0 ,0.54,29.94 ,10.0 ,NW,15.0 ,Scattered Clouds,8/3/2013
16:56,66.0 ,52.0 ,0.6,29.94 ,10.0 ,WNW,16.1 ,Scattered Clouds,8/3/2013
17:56,64.9 ,52.0 ,0.63,29.92 ,10.0 ,WNW,13.8 ,Scattered Clouds,8/3/2013
18:56,62.1 ,52.0 ,0.7,29.92 ,10.0 ,WNW,18.4 ,Scattered Clouds,8/3/2013
19:56,57.0 ,50.0 ,0.77,29.93 ,10.0 ,WNW,17.3 ,Scattered Clouds,8/3/2013
20:56,55.9 ,50.0 ,0.8,29.95 ,10.0 ,WNW,17.3 ,Partly Cloudy,8/3/2013
21:56,54.0 ,50.0 ,0.86,29.98 ,10.0 ,WNW,15.0 ,Partly Cloudy,8/3/2013
22:56,54.0 ,50.0 ,0.86,29.98 ,10.0 ,WNW,15.0 ,Partly Cloudy,8/3/2013
23:56,54.0 ,50.0 ,0.86,29.99 ,10.0 ,WNW,11.5 ,Mostly Cloudy,8/3/2013
0:56,55.0 ,50.0 ,0.83,29.99 ,10.0 ,West,8.1 ,Mostly Cloudy,8/4/2013
1:56,55.0 ,51.1 ,0.86,29.99 ,10.0 ,Variable,5.8 ,Overcast,8/4/2013
2:56,55.0 ,51.1 ,0.86,29.99 ,10.0 ,WSW,6.9 ,Overcast,8/4/2013
3:56,55.0 ,50.0 ,0.83,29.99 ,10.0 ,West,4.6 ,Overcast,8/4/2013
4:27,55.4 ,50.0 ,0.82,30.00 ,10.0 ,West,5.8 ,Overcast,8/4/2013
5:56,55.0 ,50.0 ,0.83,30.01 ,10.0 ,WSW,11.5 ,Overcast,8/4/2013
6:56,55.9 ,50.0 ,0.8,30.01 ,10.0 ,West,10.4 ,Overcast,8/4/2013
7:56,55.9 ,50.0 ,0.8,30.01 ,10.0 ,West,9.2 ,Mostly Cloudy,8/4/2013
8:56,57.9 ,50.0 ,0.75,30.02 ,10.0 ,West,10.4 ,Overcast,8/4/2013
9:56,60.1 ,51.1 ,0.72,30.02 ,10.0 ,West,13.8 ,Mostly Cloudy,8/4/2013
10:43,60.8 ,51.8 ,0.72,30.02 ,10.0 ,West,11.5 ,Scattered Clouds,8/4/2013
11:56,63.0 ,51.1 ,0.65,30.01 ,10.0 ,WNW,16.1 ,Partly Cloudy,8/4/2013
12:56,64.9 ,51.1 ,0.61,30.00 ,10.0 ,WNW,15.0 ,Partly Cloudy,8/4/2013
13:56,64.9 ,50.0 ,0.58,30.00 ,10.0 ,NW,17.3 ,Partly Cloudy,8/4/2013
